Image URL,Name,Price,Qty,Created By
https://www.mybidhaa.co.ke/food_images/1735563252.png,CLEAR COVERS,100,96,Rachael Amondi
https://www.mybidhaa.co.ke/food_images/1735628136.png,STAEDTLER COLOURED PENCILS,380,98,Rachael Amondi
https://www.mybidhaa.co.ke/food_images/1735628892.png,BLACK PELIKAN ERASER,75,91,Rachael Amondi
https://www.mybidhaa.co.ke/food_images/1735630710.png,PORTOFOLIO  FILE,290,97,Rachael Amondi
https://www.mybidhaa.co.ke/food_images/1735630961.png,ACRON READY MIX TEMPERA PAINT,410,100,Rachael Amondi
https://www.mybidhaa.co.ke/food_images/1735631701.png,CREPE PAPER,100,93,Rachael Amondi
https://www.mybidhaa.co.ke/food_images/1735638372.png,Drawing BOOK A4 20 PAGES,50,90,Rachael Amondi
https://www.mybidhaa.co.ke/food_images/1735809639.jpg,Paint Brush No.12,50,99,Caroline Mbugua
https://www.mybidhaa.co.ke/food_images/1735809516.jpg,Kasuku Exercise Book A5 120 pages Squared,55,99,Caroline Mbugua
https://www.mybidhaa.co.ke/food_images/1735822668.png,CLEAR PENCIL POUCH,210,100,Rachael Amondi
https://www.mybidhaa.co.ke/food_images/1735823370.png,Pritt Glue Stick 43gms,350,91,Caroline Mbugua
https://www.mybidhaa.co.ke/food_images/1735889971.png,Pritt plasticine,670,100,Rachael Amondi
https://www.mybidhaa.co.ke/food_images/1735890347.png,Pritt Crayons,180,100,Rachael Amondi
https://www.mybidhaa.co.ke/food_images/1735890789.png,Pelikan Coloured pencils,395,98,Rachael Amondi
https://www.mybidhaa.co.ke/food_images/1735973211.png,BODAR FAST FIX,250,100,Caroline Wairimu
https://www.mybidhaa.co.ke/food_images/1735974240.png,Pair of Scissors,100,97,Caroline Wairimu
https://www.mybidhaa.co.ke/food_images/1736857943.jpg,FIVE STAR OFFICE GLUE 1L,150,99,Caroline Wairimu
https://www.mybidhaa.co.ke/food_images/1736858198.jpg,STAEDLER PENCILS 1 BOX,650,93,Caroline Wairimu
https://www.mybidhaa.co.ke/food_images/1736858337.jpg,BIC BIROS,20,88,Caroline Wairimu
https://www.mybidhaa.co.ke/food_images/1737442255.jpg,BOOK NAME STICKERS(12 STICKERS),120,100,Caroline Wairimu
https://www.mybidhaa.co.ke/food_images/1737460040.jpg,PLASTIC SCISSORS,180,100,Caroline Wairimu
