ID,Book ID,Image URL,local_image_path,Name,Book Code,Price,Publishers,Grade,Book Category
1321,21591,../public/books/1321.jpg,../public/books/1321.jpg,KLB VISIONARY IRE 6 TEACHER'S GUIDE,KLB099,KES 511,Kenya Literature Bureau (KLB),GRADE 6,Teacher's Guides
1322,22129,../public/books/1322.jpg,../public/books/1322.jpg,KLB CRESCENT IRE 1,KLB638,KES 680,Kenya Literature Bureau (KLB),FORM 1,Course Books
1323,22133,../public/books/1323.jpg,../public/books/1323.jpg,KLB CRESCENT IRE 3,KLB642,KES 550,Kenya Literature Bureau (KLB),FORM 3,Course Books
1324,22130,../public/books/1324.jpg,../public/books/1324.jpg,KLB CRESCENT IRE 1 TG,KLB639,KES 350,Kenya Literature Bureau (KLB),FORM 1,Teacher's Guides
1325,23503,../public/books/1325.jpg,../public/books/1325.jpg,MENTOR IRE 4,Mentor041,KES 461,Mentor Publishing Company Ltd,GRADE 4,Course Books
1326,23518,../public/books/1326.jpg,../public/books/1326.jpg,MENTOR IRE 5,Mentor056,KES 570,Mentor Publishing Company Ltd,GRADE 5,Course Books
1327,23531,../public/books/1327.jpg,../public/books/1327.jpg,MENTOR IRE 6,Mentor069,KES 570,Mentor Publishing Company Ltd,GRADE 6,Course Books
1328,23740,../public/books/1328.jpg,../public/books/1328.jpg,CBC BREAKTHROUGH IRE WORKBOOK 5,MORAN162,KES 638,Moran (E.A) Publishers Ltd,GRADE 5,Revision & Workbooks
1329,23751,../public/books/1329.jpg,../public/books/1329.jpg,CBC BREAKTHROUGH IRE WORKBOOK 6,MORAN173,KES 450,Moran (E.A) Publishers Ltd,GRADE 6,Revision & Workbooks
1330,24852,../public/books/1330.jpg,../public/books/1330.jpg,NEW BEGINNING IRE ACTIVITIES WORKBOOK 4,OXFORD85,KES 510,Oxford University Press East Africa,GRADE 4,Revision & Workbooks
1331,24883,../public/books/1331.jpg,../public/books/1331.jpg,NEW BEGINNING IRE 5,OXFORD116,KES 574,Oxford University Press East Africa,GRADE 5,Course Books
1332,24886,../public/books/1332.jpg,../public/books/1332.jpg,NEW BEGINNING IRE WORKBOOK 6,OXFORD119,KES 580,Oxford University Press East Africa,GRADE 6,Revision & Workbooks
1333,24884,../public/books/1333.jpg,../public/books/1333.jpg,NEW BEGINNING IRE 6,OXFORD117,KES 632,Oxford University Press East Africa,GRADE 6,Course Books
1334,25465,../public/books/1334.jpg,../public/books/1334.jpg,SPOTLIGHT IRE ACTIVITIES GRADE 1,SPOTLIGHT053,KES 430,Spotlight Publishers (EA) Ltd,GRADE 1,Course Books
1335,25482,../public/books/1335.jpg,../public/books/1335.jpg,SPOTLIGHT IRE 4,SPOTLIGHT070,KES 345,Spotlight Publishers (EA) Ltd,GRADE 4,Course Books
1336,25483,../public/books/1336.jpg,../public/books/1336.jpg,SPOTLIGHT IRE 4 TG,SPOTLIGHT071,KES 440,Spotlight Publishers (EA) Ltd,GRADE 4,Teacher's Guides
1337,25500,../public/books/1337.jpg,../public/books/1337.jpg,SPOTLIGHT IRE 5,SPOTLIGHT088,KES 600,Spotlight Publishers (EA) Ltd,GRADE 5,Course Books
1338,25501,../public/books/1338.jpg,../public/books/1338.jpg,SPOTLIGHT IRE 5 TG,SPOTLIGHT089,KES 650,Spotlight Publishers (EA) Ltd,GRADE 5,Teacher's Guides
1339,25514,../public/books/1339.jpg,../public/books/1339.jpg,SPOTLIGHT IRE 6,SPOTLIGHT102,KES 600,Spotlight Publishers (EA) Ltd,GRADE 6,Course Books
1340,25515,../public/books/1340.jpg,../public/books/1340.jpg,SPOTLIGHT IRE 6 TG,SPOTLIGHT103,KES 650,Spotlight Publishers (EA) Ltd,GRADE 6,Teacher's Guides
1341,25590,../public/books/1341.jpg,../public/books/1341.jpg,KURUNZI YA INSHA 4-5,SPOTLIGHT178,KES 720,Spotlight Publishers (EA) Ltd,OTHER,Writing [Insha & Composition]
1342,25827,../public/books/1342.jpg,../public/books/1342.jpg,"KCPE KURUNZI YA INSHA DARASA LA 6, 7 NA 8",SPOTLIGHT415,KES 650,Spotlight Publishers (EA) Ltd,OTHER,Writing [Insha & Composition]
1343,25839,../public/books/1343.jpg,../public/books/1343.jpg,KURUNZI YA INSHA KIDATO CHA 1 NA 2,SPOTLIGHT427,KES 737,Spotlight Publishers (EA) Ltd,OTHER,Writing [Insha & Composition]
1344,25840,../public/books/1344.jpg,../public/books/1344.jpg,KURUNZI YA INSHA KIDATO CHA 3 NA 4,SPOTLIGHT428,KES 835,Spotlight Publishers (EA) Ltd,OTHER,Writing [Insha & Composition]
1345,26222,../public/books/1345.jpg,../public/books/1345.jpg,CHECHE ZA INSHA 3,STORYMOJA337,KES 600,Storymoja Publishers,GRADE 3,Writing [Insha & Composition]
1346,26224,../public/books/1346.jpg,../public/books/1346.jpg,MAZOEZI YA INSHA MURUA -KIWANGO CHA 2,STORYMOJA339,KES 600,Storymoja Publishers,GRADE 6,Writing [Insha & Composition]
1347,26264,../public/books/1347.jpg,../public/books/1347.jpg,CHECHE ZA INSHA GRADE 4,STORYMOJA379,KES 680,Storymoja Publishers,GRADE 4,Writing [Insha & Composition]
1348,26312,../public/books/1348.jpg,../public/books/1348.jpg,MAZOEZI YA INSHA MURWA -KIWANGO CHA 3,STORYMOJA427,KES 600,Storymoja Publishers,GRADE 6,Writing [Insha & Composition]
1349,26328,../public/books/1349.jpg,../public/books/1349.jpg,SPARK COMPOSITION WRITING GRADE 6,STORYMOJA443,KES 650,Storymoja Publishers,GRADE 6,Writing [Insha & Composition]
1350,26329,../public/books/1350.jpg,../public/books/1350.jpg,CHECHE ZA INSHA 6,STORYMOJA444,KES 680,Storymoja Publishers,GRADE 6,Writing [Insha & Composition]
1351,26413,../public/books/1351.jpg,../public/books/1351.jpg,SPARK COMPOSITION WRITING 7,STORYMOJA528,KES 750,Storymoja Publishers,GRADE 7,Writing [Insha & Composition]
1352,26414,../public/books/1352.jpg,../public/books/1352.jpg,CHECHE ZA INSHA 7,STORYMOJA529,KES 750,Storymoja Publishers,GRADE 7,Writing [Insha & Composition]
1353,22049,../public/books/1353.jpg,../public/books/1353.jpg,DIRA YA UANDISHI WA INSHA - SHULE ZA UPILI,KLB558,KES 580,Kenya Literature Bureau (KLB),OTHER,Writing [Insha & Composition]
1354,24723,../public/books/1354.jpg,../public/books/1354.jpg,KCPE HOMESTRETCH INSHA KAMILI,ONEPLANET073,KES 575,One Planet Publishing &Media Services Ltd,OTHER,Writing [Insha & Composition]
1355,25312,../public/books/1355.jpg,../public/books/1355.jpg,QUEENEX CHAPUO LA INSHA,QUEENEX252,KES 390,Queenex Publishers Ltd,OTHER,Writing [Insha & Composition]
1356,22139,../public/books/1356.jpg,../public/books/1356.jpg,NASAHA KAMUSI YAVITENDAWILI NA MAFUMBO,KLB648,KES 383,Kenya Literature Bureau (KLB),OTHER,Reference
1357,22975,../public/books/1357.jpg,../public/books/1357.jpg,KAMUSI KIBINDO YA KISWAHILI,Longhorn 685,KES 754,Longhorn Publishers PLC,OTHER,Reference
1358,22976,../public/books/1358.jpg,../public/books/1358.jpg,KAMUSI YA MISEMO NA NAHAU [Kimeidhinishwa],Longhorn 686,KES 1040,Longhorn Publishers PLC,OTHER,Reference
1359,22912,../public/books/1359.jpg,../public/books/1359.jpg,"MISEMO,MILIO NA TASHBIHI [Kimeidhinishwa]",Longhorn 622,KES 406,Longhorn Publishers PLC,OTHER,Reference
1360,22913,../public/books/1360.jpg,../public/books/1360.jpg,"VITO VYA HEKIMA, SIMO NA MANENO YA MSHANGAO [Kimeidhinishwa]",Longhorn 623,KES 249,Longhorn Publishers PLC,OTHER,Reference
1361,22977,../public/books/1361.jpg,../public/books/1361.jpg,KAMUSI YA METHALI [Kimeidhinishwa].,Longhorn 687,KES 959,Longhorn Publishers PLC,OTHER,Reference
1362,22978,../public/books/1362.jpg,../public/books/1362.jpg,"KAMUSI YA TASHBIHI, VITENDAWILI, MILIO NA MISHANGAO [Kimeidhinishwa]",Longhorn 688,KES 833,Longhorn Publishers PLC,OTHER,Reference
1363,22985,../public/books/1363.jpg,../public/books/1363.jpg,KAMUSI KUU YA KISWAHILI,Longhorn 695,KES 1604,Longhorn Publishers PLC,OTHER,Reference
1364,23883,../public/books/1364.jpg,../public/books/1364.jpg,MORAN KAMUSI CHANGANUZI YA METHALI,MORAN305,KES 1102,Moran (E.A) Publishers Ltd,OTHER,Reference
1365,23884,../public/books/1365.jpg,../public/books/1365.jpg,MORAN KAMUSI MWAFAKA,MORAN306,KES 715,Moran (E.A) Publishers Ltd,OTHER,Reference
1366,25829,../public/books/1366.jpg,../public/books/1366.jpg,KAMUSI FAFANUZI YA METHALI (SPOTLIGHT),SPOTLIGHT417,KES 772,Spotlight Publishers (EA) Ltd,OTHER,Reference
1367,25830,../public/books/1367.jpg,../public/books/1367.jpg,KAMUSI FAFANUZI YA MISEMO NA NAHAU,SPOTLIGHT418,KES 772,Spotlight Publishers (EA) Ltd,OTHER,Reference
1368,21444,../public/books/1368.jpg,../public/books/1368.jpg,KAMUSI ELEZI YA KISWAHILI,JKF181,KES 800,The Jomo Kenyatta Foundation,OTHER,Reference
1369,21446,../public/books/1369.jpg,../public/books/1369.jpg,KAMUSI YA VITATE NA MATAMSHI SAHIHI YA KISWAHILI,JKF367,KES 607,The Jomo Kenyatta Foundation,OTHER,Reference
1370,21795,../public/books/1370.jpg,../public/books/1370.jpg,NASAHA KAMUSI YA MISEMO KIMAUDHUI,KLB304,KES 1044,Kenya Literature Bureau (KLB),OTHER,Reference
1371,21796,../public/books/1371.jpg,../public/books/1371.jpg,KAMUSI PEVU YA KISWAHILI,KLB305,KES 1293,Kenya Literature Bureau (KLB),OTHER,Reference
1372,21222,../public/books/1372.jpg,../public/books/1372.jpg,TUJIVUNIE KISWAHILI 6,JKF062,KES 235,The Jomo Kenyatta Foundation,GRADE 6,Course Books
1373,21233,../public/books/1373.jpg,../public/books/1373.jpg,TUJIVUNIE KISWAHILI 7,JKF065,KES 290,The Jomo Kenyatta Foundation,GRADE 7,Course Books
1374,21293,../public/books/1374.jpg,../public/books/1374.jpg,KISWAHILI KWA VYUO VYA UALIMU,JKF078,KES 418,The Jomo Kenyatta Foundation,TERTIARY,Tertiary & TVET
1375,21294,../public/books/1375.jpg,../public/books/1375.jpg,MUUNDO WA KISWAHILI NGAZI NA VIPENGELE,JKF079,KES 850,The Jomo Kenyatta Foundation,OTHER,Revision & Workbooks
1376,21436,../public/books/1376.jpg,../public/books/1376.jpg,TANZU ZA LUGHA 1,JKF175,KES 300,The Jomo Kenyatta Foundation,FORM 1,Course Books
1377,21437,../public/books/1377.jpg,../public/books/1377.jpg,TANZU ZA LUGHA 2,JKF176,KES 300,The Jomo Kenyatta Foundation,FORM 2,Course Books
1378,21439,../public/books/1378.jpg,../public/books/1378.jpg,TANZU ZA LUGHA 4,JKF177,KES 300,The Jomo Kenyatta Foundation,FORM 4,Course Books
