,name,image_url,price,,
,CANON ISENSYS MF655CDW MFP Printer 21ppm Color Laserjet,https://www.mybidhaa.co.ke/food_images/1732707352.png,59999,,
,HP AIO PC i7,https://www.mybidhaa.co.ke/food_images/1732707443.png,122500,,
,CANON IJ MFP G3430 AIO Printer,https://www.mybidhaa.co.ke/food_images/1732707530.png,28000,,
,Epson Printer L4160 MEAF,https://www.mybidhaa.co.ke/food_images/1732707533.png,42500,,
,HP 27 Monitor,https://www.mybidhaa.co.ke/food_images/1732707584.png,33500,,
,CANON IJ MFP G4470 AIO Printer,https://www.mybidhaa.co.ke/food_images/1732707695.png,43000,,
,Canon MFP G2411,https://www.mybidhaa.co.ke/food_images/1732707706.png,22000,,
,CANON IJ MFP G3470 AIO Printer,https://www.mybidhaa.co.ke/food_images/1732707799.png,33500,,
,HP PAVILION x360 Core i5 8GB 512GB,https://www.mybidhaa.co.ke/food_images/1732707814.png,116000,,
,Brother Printer T510W,https://www.mybidhaa.co.ke/food_images/1732707824.png,20990,,
,HP Deskjet 2620 AIO,https://www.mybidhaa.co.ke/food_images/1732707935.png,4500,,
,Epson EcoTank Printer L3550 AIO,https://www.mybidhaa.co.ke/food_images/1732707963.png,33500,,
,Lenovo 27 Monitor,https://www.mybidhaa.co.ke/food_images/1732708005.png,32000,,
,HP AIO PC i5 - 1335U RAM 8GB 512 GB,https://www.mybidhaa.co.ke/food_images/1732708054.png,113000,,
,Canon ISENSYS MF752CDW MFP Printer,https://www.mybidhaa.co.ke/food_images/1732708187.png,72500,,
,HP LaserJet Pro MFP M135,https://www.mybidhaa.co.ke/food_images/1732708191.png,28500,,
,Brother MFC - L5755DW,https://www.mybidhaa.co.ke/food_images/1732708328.png,82500,,
,HP OfficeJet Pro 8023 All-In-One Printer (1KR64B),https://www.mybidhaa.co.ke/food_images/1732708394.png,27500,,
,HP 24 Monitor,https://www.mybidhaa.co.ke/food_images/1732708397.png,30000,,
,HP AIO PC i5 - 1335U RAM 8GB 512 GB Win 11 PCle Non Touch 24 FHD 11 Pro jet black,https://www.mybidhaa.co.ke/food_images/1732708416.png,102200,,
,Epson L5296 EcoTank A4 AIO Wi-Fi Printer,https://www.mybidhaa.co.ke/food_images/1732708581.png,59000,,
,Brother A3 Multifunctional Printer MFC-T4500DW,https://www.mybidhaa.co.ke/food_images/1732708599.png,120000,,
,HP DeskJet Plus 4120 All In One Printer,https://www.mybidhaa.co.ke/food_images/1732708871.png,17000,,
,CANON LASERJET I-SENSYS LBP6030B Print 18ppm,https://www.mybidhaa.co.ke/food_images/1732708899.png,15900,,
,Canon Laser Printer I- Sensys MF237w,https://www.mybidhaa.co.ke/food_images/1732709050.png,39900,,
,Lenovo 23.8 Monitor,https://www.mybidhaa.co.ke/food_images/1732709069.png,27500,,
,HP AIO PC i7 - 1355U RAM 8GB 512 GB Win 11 PCle Touch 24 FHD 11 Pro jet black,https://www.mybidhaa.co.ke/food_images/1732709072.png,133999,,
,CANON LASER PRINTER I-SENSYS MF237W18ppm,https://www.mybidhaa.co.ke/food_images/1732709108.png,39900,,
,CANON LASERJET I- SENSYS LBP6030b Print 18ppm,https://www.mybidhaa.co.ke/food_images/1732709261.png,15900,,
,Lenovo g27e 20 27 Gaming Monitor wled,https://www.mybidhaa.co.ke/food_images/1732709429.png,44500,,
,HP envy x360 i7 1355U7 16GB,https://www.mybidhaa.co.ke/food_images/1732709479.png,205000,,
,Smart projector C600a/IMC580,https://www.mybidhaa.co.ke/food_images/1732709897.jpg,45000,,
,Lenovo yoga 7 i7 16gb 512gb ssd 14 win 11 home,https://www.mybidhaa.co.ke/food_images/1732709790.png,220000,,
,Lenovo legion 5 i7 13th 16gb 1tbssd nvidia rtx 4060 8gb 16 w11 home,https://www.mybidhaa.co.ke/food_images/1732710112.png,285000,,
,Asus zenbook ux3402za i7 1260p 16gb 512gb ssd win 11 home 14-0 wqxga oled,https://www.mybidhaa.co.ke/food_images/1732710411.png,184999,,
,lenovo loq 3 gaming series i5 8gb 512gb ssd rtx2050 4gb win 11 15 6,https://www.mybidhaa.co.ke/food_images/1732710950.png,145999,,
,Epson Projector EB-W06 WKGA 3700 lumens 3Lcd,https://www.mybidhaa.co.ke/food_images/1732709897.jpg,100000,,
,Asus vivobook s14 tp34za i7 16gb 1tb ssd win 11 with stylus x360 touch,https://www.mybidhaa.co.ke/food_images/1732711314.png,154999,,
,Byintek smart projector K45 FULL HD,With auto focus,https://www.mybidhaa.co.ke/food_images/1732711464.png,69999,,
,Hp Ink Cartidge 652 Colour,https://www.mybidhaa.co.ke/food_images/1732711590.png,2750,,
,Asus vivobook x1400 i7 1165g7 8gb 512gb win 11 14 hd,https://www.mybidhaa.co.ke/food_images/1732711682.png,100999,,
,Hp Ink Cartidge 652 Black,https://www.mybidhaa.co.ke/food_images/1732711821.png,3000,,
,Philips Projector NeoPix Prime 2 NPX 542 80 720p,https://www.mybidhaa.co.ke/food_images/1732712002.png,33299,,
,Philips Projector NeoPix Prime 2+ NPX 645 65 1080p,https://www.mybidhaa.co.ke/food_images/1732712507.png,54999,,
,Epson-Ink-Cartridge-101-Yellow-l4160-6170,https://www.mybidhaa.co.ke/food_images/1732712557.png,1750,,
