,name,image_url,price,,
,Gas Tap,/images/apparatus/102.jpg,"1,550.00,,
,Glass Tubing Cutter,/images/apparatus/103.jpg,350,,
,Gloves Acid Proof,/images/apparatus/104.jpg,450,,
,Goggles Safety,/images/apparatus/105.jpg,500,,
,Gold Leaf Electroscope,/images/apparatus/106.jpg,"1,150.00,,
,Graphite Rods,/images/apparatus/107.jpg,500,,
,Hand Lens,/images/apparatus/108.jpg,180,,
,Hand Stroboscope,/images/apparatus/109.jpg,"1,980.00,,
,Hare's Apparatus On Stand,/images/apparatus/110.jpg,"1,870.00,,
,Hoffman Clips,/images/apparatus/111.jpg,120,,
,Hofmann Voltmeter Complete,/images/apparatus/112.jpg,"6,850.00,,
,Human Body Part Models,/images/apparatus/113.jpg,"3,500.00,,
,Human Skeleton,/images/apparatus/114.jpg,"4,500.00,,
,Human Torso,/images/apparatus/115.jpg,"8,500.00,,
,Hydraulic Press,/images/apparatus/116.jpg,"250,000.00,,
,Hydrometer Heavy Liquids/ Light,/images/apparatus/117.jpg,"1,300.00,,
,Hydrometer Simple Battery Tester,/images/apparatus/118.jpg,850,,
,Hygrometer Wet & Dry,/images/apparatus/119.jpg,"4,200.00,,
,Induction Coil,/images/apparatus/120.jpg,"3,480.00,,
,Insect Net With Handle,/images/apparatus/121.jpg,560,,
,Jug Graduated Plastic,/images/apparatus/122.jpg,220,,
,Kaleidoscope,/images/apparatus/123.jpg,"1,060.00,,
,Knife Edge,/images/apparatus/124.jpg,220,,
,Knife Edge Short,/images/apparatus/125.jpg,120,,
,Knife Switch,/images/apparatus/126.jpg,260,,
,Lab Coat,/images/apparatus/127.jpg,"2,240.00,,
,Labels Self Adhesive,/images/apparatus/128.jpg,70,,
,Laboratory Sink,/images/apparatus/129.jpg,"1,920.00,,
,Leclanche Cell,/images/apparatus/130.jpg,"1,490.00,,
,Lens Cleaning Tissue,/images/apparatus/131.jpg,560,,
,Lens Holder,/images/apparatus/132.jpg,140,,
,Leslie Cubes,/images/apparatus/133.jpg,810,,
,Liebig Condenser,/images/apparatus/134.jpg,"1,120.00,,
,Lift Pump,/images/apparatus/135.jpg,670,,
,Linear Expansion Apparatus,/images/apparatus/136.jpg,"5,470.00,,
,Liquid Level Apparatus,/images/apparatus/137.jpg,630,,
,Loop Holder Nichrome,/images/apparatus/138.jpg,810,,
,Magdeburg Hemisphere,/images/apparatus/139.jpg,"1,770.00,,
,Magnet Bar Pair With Keepers,/images/apparatus/140.jpg,600,,
,Magnet Circular With Hole,/images/apparatus/141.jpg,750,,
,Magnet Compass (Complete Box),/images/apparatus/142.jpg,"1,870.00,,
,Magnet Electrode U Shape,/images/apparatus/143.jpg,810,,
,Magnet Horse-Shoe,/images/apparatus/144.jpg,460,,
,Magnet Magnadur,/images/apparatus/145.jpg,990,,
,Magnet Needle On Stand,/images/apparatus/146.jpg,560,,
,Magnet Round Cylindrical,/images/apparatus/147.jpg,930,,
,Magnet U Shape,/images/apparatus/148.jpg,"1,060.00,,
,Magnetic Needle Only,/images/apparatus/149.jpg,120,,
,Magnetic Plotting Compass,/images/apparatus/150.jpg,100,,
,Magnetising & Demagnetising Coil,/images/apparatus/151.jpg,"6,910.00,,
,Manifold 2 Cylinders,/images/apparatus/152.jpg,"1,570.00,,
,Manometer On Stand,/images/apparatus/153.jpg,"1,750.00,,
,Meter Bridge,/images/apparatus/154.jpg,"4,350.00,,
,Meter Rule,/images/apparatus/155.jpg,340,,
,Micrometer screw gauge,/images/apparatus/156.jpg,"12,000.00,,
,Microscope Bulb,/images/apparatus/157.jpg,"1,490.00,,
,Microscope Condenser,/images/apparatus/158.jpg,"1,180.00,,
,Microscope Cover Slip,/images/apparatus/159.jpg,210,,
,Microscope Eye Piece,/images/apparatus/160.jpg,"1,920.00,,
,Microscope Lamp,/images/apparatus/161.jpg,"4,730.00,,
,Microscope Mechanical Stage,/images/apparatus/162.jpg,"4,980.00,,
,Microscope Mirror,/images/apparatus/163.jpg,690,,
,Microscope Mirror Holder,/images/apparatus/164.jpg,220,,
,Microscope Objective,/images/apparatus/165.jpg,"10,570.00,,
,Microscope Prepared Slides,/images/apparatus/166.jpg,250,,
,Microscope Slide Box,/images/apparatus/167.jpg,630,,
,Microscope Slides,/images/apparatus/168.jpg,370,,
,Microscope Stage Clips,/images/apparatus/169.jpg,180,,
